target,outer_fold,inner_fold,config_id,selection_metric,selection_metric_value,final_train_loss,hidden_dim,dropout,learning_rate,weight_decay,batch_size,threshold,activation,hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro
GDS_R1,3,2,7,f1_macro,0.3055555555555555,0.2828218010901606,32,0.3,0.001,0.0001,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,7,f1_macro,0.3054545454545455,0.2932075655779312,32,0.3,0.001,0.0001,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,3,1,8,f1_macro,0.30834856794637416,0.21135874988645365,32,0.3,0.001,0.0,16,0.5,relu,0.09698996655518395,0.8461538461538461,0.8605442176870748,0.8461538461538461,0.8532883642495784,0.30834856794637416
GDS_R1,3,2,8,f1_macro,0.3055555555555555,0.2311253518340376,32,0.3,0.001,0.0,16,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,8,f1_macro,0.3054545454545455,0.22562257666452273,32,0.3,0.001,0.0,16,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,3,1,9,f1_macro,0.6132478632478632,0.29789562580773177,32,0.3,0.001,0.0,32,0.4,relu,0.10479375696767002,0.842809364548495,0.8274760383386581,0.8662207357859532,0.8464052287581699,0.6132478632478632
GDS_R1,3,2,9,f1_macro,0.5277777777777778,0.2786283637810392,32,0.3,0.001,0.0,32,0.4,relu,0.10367892976588629,0.8461538461538461,0.8366013071895425,0.8561872909698997,0.8462809917355372,0.5277777777777778
GDS_R1,3,3,9,f1_macro,0.45360269360269356,0.2854099431165485,32,0.3,0.001,0.0,32,0.4,relu,0.10514541387024609,0.8422818791946308,0.8355263157894737,0.8523489932885906,0.8438538205980066,0.45360269360269356
GDS_R1,3,1,10,f1_macro,0.30891330891330887,0.2743189034350154,32,0.3,0.001,0.0,32,0.6,relu,0.09587513935340022,0.8461538461538461,0.863481228668942,0.8461538461538461,0.8547297297297297,0.30891330891330887
GDS_R1,3,2,10,f1_macro,0.30722525804493017,0.2811745655796236,32,0.3,0.001,0.0,32,0.6,relu,0.09921962095875139,0.8461538461538461,0.8547297297297297,0.8461538461538461,0.8504201680672269,0.30722525804493017
GDS_R1,3,3,10,f1_macro,0.3070336391437309,0.2798266600206943,32,0.3,0.001,0.0,32,0.6,relu,0.09955257270693513,0.8422818791946308,0.856655290102389,0.8422818791946308,0.8494077834179358,0.3070336391437309
GDS_R1,3,1,11,f1_macro,0.3055555555555555,0.2859898780658217,32,0.3,0.001,0.0,32,0.5,tanh,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,2,11,f1_macro,0.3055555555555555,0.2828297563134326,32,0.3,0.001,0.0,32,0.5,tanh,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,11,f1_macro,0.3054545454545455,0.2737517521333535,32,0.3,0.001,0.0,32,0.5,tanh,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,3,1,12,f1_macro,0.3055555555555555,0.28115781255603034,32,0.3,0.001,0.0,32,0.5,leaky_relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,2,12,f1_macro,0.3055555555555555,0.28158466530405296,32,0.3,0.001,0.0,32,0.5,leaky_relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,3,3,12,f1_macro,0.3054545454545455,0.2749600143336931,32,0.3,0.001,0.0,32,0.5,leaky_relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,4,1,1,f1_macro,0.3055555555555555,0.2702590038928155,32,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,4,2,1,f1_macro,0.3055555555555555,0.28190948131495785,32,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,4,3,1,f1_macro,0.3054545454545455,0.25141003478729607,32,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,4,1,2,f1_macro,0.30834856794637416,0.3513433047175607,16,0.3,0.001,0.0,32,0.5,relu,0.09698996655518395,0.8461538461538461,0.8605442176870748,0.8461538461538461,0.8532883642495784,0.30834856794637416
GDS_R1,4,2,2,f1_macro,0.3055555555555555,0.389619955764943,16,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
GDS_R1,4,3,2,f1_macro,0.3054545454545455,0.3128969115158387,16,0.3,0.001,0.0,32,0.5,relu,0.1029082774049217,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.8456375838926175,0.3054545454545455
GDS_R1,4,1,3,f1_macro,0.3055555555555555,0.21724741165861614,64,0.3,0.001,0.0,32,0.5,relu,0.10256410256410256,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3055555555555555
